Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
83	0.23319161417547532	0.01933493608168108	0.47840590729058446	8.485936193695179E-4	0.26821894883288966	0.01	0.5551323481496933	0.8401996194948921
84	0.5659564392795017	0.3041710855804463	0.07153210632730775	0.002438309271263828	0.055902059541480476	0.0	0.622894384648598	0.7936685705337955
85	0.2456686861691094	0.48351931401210174	0	0.0015764317419085835	0.26923556807688026	0.01	0.5799834804978228	0.8312620508536194
86	0.3314804287226672	0.15053195081819404	0.2630156292530632	0.001855846155346704	0.25311614505072894	0.0	0.639889245063407	0.7702215608801052
87	0.4077257762470634	0.15325570468399238	0.12622020563489614	0.0013788026016035141	0.3114195108324446	0.0	0.6374489566310347	0.7703409106027082
88	0.06573948975849006	0.23994695482058107	0.49622635062546044	9.303567866527674E-4	0.19715684800881556	0.0	0.6928435355859328	0.7265474101857985
89	0.336580515675239	0.3333665820346875	0.2704466493783864	0.0011152654649715017	0.05849098744671555	0.0	0.6482054289836652	0.7653114149061623
90	0.4528277531069331	0.057603681436396006	0.44096607401500476	0.0014210966894765626	0.04718139475218953	0.0	0.6462176872518213	0.7792477185924684
91	0.27689553944633666	0.19123081759331664	0.30004839499096675	0.0031555367489322825	0.22866971122044769	0.01	0.5949690440735216	0.8046041746468858
92	0.21242058763350286	0.14673838370761497	0.3443844503945293	0.003594996777786436	0.2928615814865665	0.01	0.5430792840272862	0.839121198709278
93	0.30526128933295943	0.26283512131252545	0.36615378827668493	0	0.06574980107783031	0.0	0.6535547260671177	0.7579257348554602
94	0.19563501473081746	0.3175856632056742	0.4824775734757859	0	0.004301748587722524	0.01	0.5604635980514514	0.8305638432583392
95	0.23580448728441883	0.3150692230810093	0.2397288369604225	0.0014117285854798368	0.20798572408866947	0.01	0.5884846438806236	0.8173842317679414
96	0.35123007817609414	0.17876631198632892	0.27937386968722067	0.0014308670241913865	0.18919887312616487	0.0	0.6483096265137371	0.7623966009886185
97	0.3999915084703438	0.13500052367300314	0.10460565640157289	0.004135578382495191	0.35626673307258505	0.0	0.6449164548394134	0.7645612223901919
98	0.4705050179455464	0.06308471734898367	0.42427424261259206	0.0013657129121982042	0.04077030918067963	0.0	0.6621771865730227	0.7635833014074124
99	0.15706855298543973	0.2522500491481981	0.42129755097931976	1.5059771639802218E-4	0.16923324917064436	0.0	0.6281504940860694	0.7809503672028166
100	0.0502217724805295	0.18558928167649325	0.4635132881801888	0.002738113141173529	0.29793754452161497	0.0	0.6541893870605823	0.7595822716829835
101	0.3081136548850593	0.26987384053407176	0.23041439940959144	0.0013911808885622343	0.19020692428271524	0.0	0.6292704080628109	0.7836250930857858
102	0.12675600578706292	0.4692967958150187	0	0.004203037051252986	0.39974416134666535	0.01	0.4852922872528017	0.8837563739519723
103	0.4512404017544014	0.1947177621124769	0.17844740805719903	0.0015575452622308918	0.17403688281369173	0.0	0.664035544318678	0.7472031787250464
104	0.19448118218147534	0.24154906512994395	0.3833375431479793	2.0933613864019315E-4	0.1804228734019612	0.0	0.673349020769305	0.7500957682101198
105	0.26946014241565064	0.5358387066154592	0	0.003578404597111265	0.19112274637177884	0.0	0.609436644759699	0.8131090802542145
106	0.3161574383509964	0.38205545514595607	0.10333409751698944	0.0014195421212976535	0.19703346686476048	0.0	0.6294469052174662	0.7905524762424605
107	0.4676983629172358	0.09276852656046779	0.22717087786209145	0.0013641103607874474	0.2109981222994175	0.0	0.6519290874672943	0.7596666199155683
108	0.5949428887573187	0.08133721518243857	0.0756621637597309	0.007474793884094517	0.24058293841641726	0.0	0.6320046197169993	0.7964654781695866
109	0.3491218513206993	0.1951477716721451	0.3135323847870381	0.001606534616331425	0.14059145760378614	0.0	0.6306986336918909	0.7756718353905255
110	0.35331132893975936	0.21946962027220637	0.13491293049956052	0.0012934113077604408	0.29101270898071324	0.0	0.6403814223738759	0.7730555018497342
111	0.3554617138951558	0.057074483340907235	0.4841812445110201	3.269065063765216E-5	0.10324986760227907	0.0	0.6508056110049287	0.7657233083718172
112	0.15780862085796418	0.5429334020972516	0.1100228498245387	0.0029710031721231285	0.18626412404812245	0.01	0.5455080639971207	0.8615417801407538
113	0.20984546373851898	0.26776590593439975	0.4314586069858142	0.0019805216256134116	0.08894950171565374	0.01	0.568402828959535	0.8225411986152092
114	0.5262998252616289	0.1841946789497465	0.23637376872244314	3.073147996147559E-4	0.0528244122665668	0.0	0.659206708099098	0.7582631479954585
115	0.18750256490659942	0.05414393686356871	0.5669669793865831	8.551567853191178E-4	0.1905313620579296	0.0	0.6739805564103937	0.7400254720637297
116	0.03125696667225752	0.3464504286713234	0.29146875407668976	0.0021910461109169873	0.3286328044688123	0.01	0.5793897852782826	0.830221016298467
117	0.25945926913460426	0.40727833903213645	0.10499441819894915	0.0013121722188823611	0.22695580141542776	0.0	0.6198028658893711	0.8074064417506548
118	0.04630715847456859	0.427761850990297	0.31251630151886944	0.0028651156585297642	0.21054957335773516	0.0	0.6012539454341902	0.8189455038971731
119	0.47215584757414625	0.08269585414880538	0.35299435879401486	0	0.09215393948303355	0.0	0.6514853345101257	0.7669590762103541
120	0.5013089430968183	0.39550848505166253	0.034332620332313595	0.002199775292320353	0.06665017622688528	0.0	0.6351348254609699	0.7731245458799325
121	0.21986351240160307	0.10866622193024397	0.41251495312800435	3.2088734525797163E-4	0.2586344251948907	0.0	0.6530780149746584	0.7584509395971823
122	0.42181066483064206	0.2648756364513619	0.2563953006730973	0.0017721250631710537	0.05514627298172759	0.0	0.6492725832282934	0.7600282347826204
123	0.4246607525092992	0.15195461283982648	0.24304741317357026	0.0011302064685250145	0.1792070150087791	0.0	0.6373149240038573	0.7703338574816656
124	0.10527825265675324	0.25727444399719934	0.6296533103066339	0.0014793045065853482	0.006314688532828256	0.0	0.736787782119271	0.6757850054580813
125	0.4020560845473496	0.04536345115901652	0.472706509032934	8.554997375665691E-5	0.07978840528694324	0.0	0.6412895002021513	0.780076820779972
126	0.4772775401281403	0.08681080725193854	0.17461993163541709	0.0014024817393331833	0.25988923924517093	0.0	0.6569165488743132	0.7548710316298685
127	0.40903200191166206	0.26242841243800974	0.2566377820596537	0.0018275064563659108	0.07007429713430866	0.0	0.6425408456431061	0.7657524977455308
128	0.2819938670437663	0.04990134632949581	0.41333369681783566	0.001374937168173003	0.2533961526407293	0.01	0.5755494767035396	0.8206755108702691
129	0.251326996885526	0.0690537631822968	0.5136492433666942	7.988876698312084E-4	0.16517110889565179	0.0	0.6016478689210241	0.8050377447969079
130	0.15195370152814908	0.2105466755732719	0.5972181541300925	0	0.04028146876848654	0.01	0.5437956764583267	0.8582183088773898
131	0.3666867034029548	0.21324476428093006	0.319288836173542	0	0.10077969614257307	0.0	0.6521897071244986	0.7578086573116042
132	0.24462645873503502	0.3164168660828797	0.25461895562287346	0.00676112819363134	0.1775765913655804	0.01	0.5834023798029486	0.8184877181175877
133	0.4534066620526949	0.3354716412481189	0	0.0018114622966585304	0.2093102344025277	0.0	0.6546230402555898	0.7559914081282385
