Column	adipocyte	cd4	MVEC	m1_macro	m2_macro	P.value	Pearson.Correlation	RMSE
SRR1332069	0.488208740265091	0	0.43663169358057	0	0.075159566154339	0	0.459873137436221	0.972891601200059
SRR1332424	0.52468072490117	0.0170935179026104	0.132833177862659	0.00390916619008506	0.321483413143475	0	0.713324588955913	0.703540227443853
SRR1332443	0.845329820872896	0.018428386633927	0.106360491602245	0.00116020895605342	0.028721091934879	0	0.772447405834867	0.720985973256812
SRR1332969	0.261405062311347	0	0.572058151837508	0	0.166536785851145	0.0291457286432161	0.151449933436028	1.18588935082716
SRR1334098	0.641917650128979	0	0.295080956218985	0	0.0630013936520354	0.00201005025125628	0.371166741447635	1.08502596991703
SRR1337192	0.502784461887795	0	0.164996278856354	0	0.332219259255851	0	0.558419339357318	0.854593277349029
SRR1337342	0.649647552574408	0	0.192803684174477	0	0.157548763251115	0	0.476155253764294	0.980509054463758
SRR1337606	0.396250203426268	0.0428103233952668	0.26236122533533	0.00185010380229245	0.296728144040842	0.00201005025125628	0.404861650779917	0.954877637632748
SRR1338031	0.480621987297751	0	0.517802140292798	0	0.00157587240945123	0.00301507537688442	0.318949039040483	1.11699814146974
SRR1338147	0.725822007868933	0	0.166779053043849	0	0.107398939087218	0.00301507537688442	0.318855018697327	1.15951294425331
SRR1338426	0.417019577783758	0.0174624934820473	0.340405942009676	0.00023247614050389	0.224879510584015	0.0190954773869347	0.205627530750316	1.11347900978824
SRR1341344	0.536440944508821	0.0286921045713051	0.196938940425289	0.00145950440937541	0.23646850608521	0	0.447846174955511	0.95707328033123
SRR1345146	0.53237417555084	0	0.349606280268074	0	0.118019544181086	0.00201005025125628	0.407253920395396	1.01354682720896
SRR1345609	0.447956070385226	0.0163264723381911	0.479552031017189	0.000752214305235196	0.055413211954158	0.00100502512562814	0.426974802699728	0.998556522552655
SRR1346773	0.702991875485383	0	0.21365864463066	0	0.0833494798839573	0	0.744025295978353	0.706708768520036
SRR1347060	0.778245089511916	0	0.156244191989328	0	0.0655107184987561	0	0.457542812946812	1.06525026576299
